Názov školy;Obec;Ulica;PSČ
Obchodná akadémia;Levice;Kálmána Kittenbergera 2;93440
Obchodná akadémia;Nitra;Bolečkova 2;95050
Súkromná obchodná akadémia - Kereskedelmi Magánakadémia - ako organizačná zložka Súkromnej spojenej škly;Štúrovo;Svätého Štefana 36;94301
Obchodná akadémia;Šurany;Nám. hrdinov 7;94201
Obchodná akadémia;Topoľčany;Inovecká 2041;95594
Obchodná akadémia;Zlaté Moravce;Bernolákova 26;95320
Obchodná akadémia - Kereskedelmi Akadémia - ako organizačná zložka Spojenej školy;Nové Zámky;Komárňanská 28;94075
Obchodná akadémia - Kereskedelmi Akadémia - ako organizačná zložka Spojenej školy;Šaľa;Nivy 2;92705
Stredná odborná škola obchodu a služieb;Topoľčany;T. Vansovej 2;95501
Stredná odborná škola obchodu a služieb;Zlaté Moravce;Slov.národ.povstania 5;95301
Stredná odborná škola obchodu a služieb - Kereskedelmi és Szolgáltatóipari Szakközépiskola;Komárno;Budovateľská 32;94501
Stredná odborná škola hotelových služieb a obchodu;Nové Zámky;Zdravotnícka 3;94051
Stredná odborná škola pedagogická;Levice;Ul. F. Engelsa 3;93429
Praktická škola ako organizačná zložka Spojenej školy internátnej;Topoľčany;Tovarnícka 1632;95501
Praktická škola ako organizačná zložka Spojenej školy internátnej;Nitra;Červeňova 42;94901
Praktická škola ako organizačná zložka Spojenej školy;Zlaté Moravce;J. Kráľa 39;95301
